z_seed,hp_seed,pre_mle_cost,post_mle_cost,train_nrmse,test_nrmse,train_nlpd,test_nlpd,iters,best_iter,opt_time,result_file
273,10,0.139432222,0.016521059,3.035432845,2.687852085,-1.483919024,-1.83333087,4900,4900,34.4807496,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-273_seed_hp-10.json
273,46,0.065215588,0.031723481,5.083795264,5.793573707,-0.561189651,-0.690477669,1050,1050,23.464024,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-273_seed_hp-46.json
273,91,0.075717025,0.052220546,4.255991802,4.61756736,0.250322938,0.070223473,1550,1550,25.2371343,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-273_seed_hp-91.json
273,137,0.107036062,0.04288375,5.388905853,5.90499565,0.252017707,0.177513361,1700,1700,24.6897094,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-273_seed_hp-137.json
273,182,0.932507634,0.017369207,5.994059891,4.931847006,0.340043664,0.022588801,2700,2700,28.2823123,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-273_seed_hp-182.json
273,227,0.064536579,0.028729299,7.967885584,8.518187702,0.19646135,0.222918943,5850,5850,36.9376492,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-273_seed_hp-227.json
273,273,0.038151745,0.016545327,3.791681305,3.032103553,-0.849307239,-1.100778103,1050,1050,23.3977049,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-273_seed_hp-273.json
273,318,0.060767904,0.014316238,7.983077317,8.226577938,-0.559717476,-0.655543447,11500,11500,51.6427421,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-273_seed_hp-318.json
273,363,0.030948069,0.011292266,2.5441356,2.306547761,-3.159834623,-3.261894703,1050,1050,26.6504314,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-273_seed_hp-363.json
273,409,0.043613739,0.015328289,8.981595933,8.860181272,0.183349386,0.067291319,1050,1050,24.6832923,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-273_seed_hp-409.json
273,454,0.115174375,0.011902725,7.559921592,7.263273001,-1.904301405,-2.032819748,9000,9000,50.0596864,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-273_seed_hp-454.json
273,500,0.058241356,0.013865465,2.71696616,2.447372302,-1.303986907,-1.534454107,3500,3500,31.0527871,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-273_seed_hp-500.json
273,1234,0.025064824,0.0231674,3.079644777,2.698203921,-1.485852122,-0.701742649,1050,1050,23.3489154,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-273_seed_hp-1234.json
